utterance,intent,category,tags
отменить сделать заказ,cancel_order,ORDER,BIP
отмена заказ,cancel_order,ORDER,BK
нужный помощь отмена последний заказ который сделать,cancel_order,ORDER,B
проблема отмена заказ который сделать,cancel_order,ORDER,B
знать отменить заказ который сделать,cancel_order,ORDER,B
мочь помочь отменить заказ который сделать,cancel_order,ORDER,BI
хотеть знать отмена заказ,cancel_order,ORDER,BMP
мочь помочь отменить заказ,cancel_order,ORDER,BIP
знать отменить заказ который сделать,cancel_order,ORDER,B
помочь отменить последний заказ,cancel_order,ORDER,B
знать отменить последний заказ который сделать,cancel_order,ORDER,BE
нужный помощь отмена заказ который сделать,cancel_order,ORDER,B
информация отмена заказ,cancel_order,ORDER,B
хотеть отменить заказ,cancel_order,ORDER,BP
нужный помощь отмена заказ,cancel_order,ORDER,BM
нужный помощь отмена заказ который сделать,cancel_order,ORDER,B
помощь отмена заказ который сделать,cancel_order,ORDER,B
вопрос отмена последний заказ,cancel_order,ORDER,B
помочь отменить последний заказ,cancel_order,ORDER,B
проблема отмена заказ,cancel_order,ORDER,BM
проблема отмена заказ,cancel_order,ORDER,BM
помощь отмена заказ который сделать,cancel_order,ORDER,B
нужный помощь отмена заказ который сделать,cancel_order,ORDER,B
проблема отмена заказ,cancel_order,ORDER,BM
хотеть платить сделать заказ,cancel_order,ORDER,BE
проблема отмена заказ,cancel_order,ORDER,BM
проблема отмена заказ,cancel_order,ORDER,BM
мочь получить информация отмена заказ,cancel_order,ORDER,BIM
нужный помощь отмена заказ который сделать,cancel_order,ORDER,B
отменить заказ,cancel_order,ORDER,BK
найти информация отмена заказ,cancel_order,ORDER,BM
мочь дать информация отмена заказ,cancel_order,ORDER,BIM
вопрос отмена последний заказ,cancel_order,ORDER,B
знать отменить последний заказ,cancel_order,ORDER,B
проблема отмена последний заказ,cancel_order,ORDER,BM
проблема отмена заказ который сделать,cancel_order,ORDER,B
нужный помощь отмена последний заказ который сделать,cancel_order,ORDER,B
