utterance,intent,category,tags,answer
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BK,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BI,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BMP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BE,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BE,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BK,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BI,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BI,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BEM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BI,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BEP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIMP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BEM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BI,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BI,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BI,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BI,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BE,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIMP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,B,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIP,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BI,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BI,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BIM,"чтобы отменить заказ, отмените заказ"
мочь оформить возврат деньга,cancel_order,ORDER,BM,"чтобы отменить заказ, отмените заказ"
